result_type,fold,k,model,accuracy,macro_f1,mae
cv_fold,3,8,hist_gradient_boosting,0.5233680125060644,0.35370397888900323,0.8584577650800496
cv_fold,3,8,bagging_linear,0.5052423049970352,0.307545305463018,0.9652309848525686
cv_fold,3,8,stacking_lsvc_logreg_rf,0.5217643253732952,0.3464857959045514,0.8688076114495176
cv_fold,3,8,ridge_regression_round,0.3226780227480998,0.27425621218755725,0.9348956929545577
cv_fold,3,8,ordinal_logistic,0.5005121017734893,0.32490143700911267,0.9588701417713331
cv_fold,3,8,xgboost_cls,0.523570157942968,0.34656195117763583,0.8691579968734839
cv_fold,3,10,multinomial_logreg,0.5189612419815643,0.32179497876151475,0.9027949975742547
cv_fold,3,10,random_forest_cls,0.5155517222791224,0.4075057876729728,0.7849442078594145
cv_fold,3,10,hist_gradient_boosting,0.535847124144251,0.36886612530160884,0.8062368605466013
cv_fold,3,10,bagging_linear,0.5191229583310872,0.3207570694860432,0.9032936229852838
cv_fold,3,10,stacking_lsvc_logreg_rf,0.5313055899951485,0.3635192902262493,0.8152929761198857
cv_fold,3,10,ridge_regression_round,0.3326909600560617,0.28575093133504054,0.9067974772249474
cv_fold,3,10,ordinal_logistic,0.5170610748746698,0.34547376924594897,0.8863134062853755
cv_fold,3,10,xgboost_cls,0.5342164842865613,0.35857372632072265,0.8217077246509622
cv_fold,4,3,multinomial_logreg,0.5100398900328823,0.297667446125086,0.9775753328661527
cv_fold,4,3,random_forest_cls,0.47160530429626435,0.37135114879726416,0.9314053150773544
cv_fold,4,3,hist_gradient_boosting,0.5154843404668212,0.3197426268517466,0.9385208344563636
cv_fold,4,3,bagging_linear,0.5099725082205812,0.29618565565193666,0.9797315508597919
cv_fold,4,3,stacking_lsvc_logreg_rf,0.5142579914829389,0.31906635571093,0.9459193574470379
cv_fold,4,3,ridge_regression_round,0.3142148671230661,0.2624158352172814,0.9485742008517061
cv_fold,4,3,ordinal_logistic,0.5083553447253517,0.31723567876951486,0.97246779149372
cv_fold,4,3,xgboost_cls,0.5154034822920597,0.3170933865238646,0.9392889871165975
cv_fold,4,5,multinomial_logreg,0.5048245377607676,0.3008525232579136,0.9995283273138914
cv_fold,4,5,random_forest_cls,0.4877365101611773,0.3907142251136583,0.8718936984529135
cv_fold,4,5,hist_gradient_boosting,0.5268853431081882,0.33990730764384763,0.8879036170556843
cv_fold,4,5,bagging_linear,0.5041372432752951,0.2982176263809079,1.0027087488545092
cv_fold,4,5,stacking_lsvc_logreg_rf,0.5236105870303488,0.3289761444179883,0.901541695865452
cv_fold,4,5,ridge_regression_round,0.31228774729125114,0.261169925299998,0.9516468114926419
cv_fold,4,5,ordinal_logistic,0.5021023125437982,0.3110988262758566,1.001320683521104
cv_fold,4,5,xgboost_cls,0.5253355614252601,0.3343539367062668,0.8975796453021401
cv_fold,4,8,multinomial_logreg,0.5167511185380842,0.30764267655715616,0.957765080049593
cv_fold,4,8,random_forest_cls,0.5108619481429573,0.4064636447735007,0.8103741038218963
cv_fold,4,8,hist_gradient_boosting,0.54075252007978,0.36402235518449555,0.8221524446121503
cv_fold,4,8,bagging_linear,0.5168185003503855,0.30553019328055303,0.9593283380949814
cv_fold,4,8,stacking_lsvc_logreg_rf,0.5369926149533718,0.35688355808718003,0.8370842542181014
cv_fold,4,8,ridge_regression_round,0.318338634035901,0.26674466262279256,0.9371866745727994
cv_fold,4,8,ordinal_logistic,0.5126812570750903,0.320039244999177,0.9565117783407903
cv_fold,4,8,xgboost_cls,0.5397956983451027,0.3548069097375241,0.8335534472535173
cv_fold,4,10,multinomial_logreg,0.5243787396905827,0.31807559491986026,0.9184141016656784
cv_fold,4,10,random_forest_cls,0.5182065656837906,0.40181085224400165,0.8028003881192388
cv_fold,4,10,hist_gradient_boosting,0.54350169802167,0.3658245188475544,0.811344401919034
cv_fold,4,10,bagging_linear,0.5246886960271684,0.31630458362265534,0.9191418252385316
cv_fold,4,10,stacking_lsvc_logreg_rf,0.5393509783839147,0.3600338709201509,0.8249824807288016
cv_fold,4,10,ridge_regression_round,0.3289580076545739,0.2780624968242204,0.9153414910247426
cv_fold,4,10,ordinal_logistic,0.5207266454638564,0.3349690458936436,0.9106112878011967
cv_fold,4,10,xgboost_cls,0.5420192981510431,0.35651676071210736,0.8254406770524501
cv_fold,5,3,multinomial_logreg,0.49355829874400303,0.2886149145501771,1.0299444773866637
cv_fold,5,3,random_forest_cls,0.47182092609562826,0.37890552562765156,0.913441323917848
cv_fold,5,3,hist_gradient_boosting,0.5066573230553609,0.3232110622935993,0.946970513718937
cv_fold,5,3,bagging_linear,0.4933426769446391,0.28730812270973205,1.0320872190178427
